symbol,value
‹,0
”,1
‚,2
•,3
œ,4
Ÿ,5
”,6
Ž,7
•,8
„,9
Š,10
š,11
˜,12
’,13
’,14
†,15
Ÿ,16
˜,17
–,18
‘,19
Ž,20
–,21
œ,22
ƒ,23
€,24
‡,25
…,26
”,27
–,28
ž,29
™,30
Ž,31
™,32
†,33
‡,34
—,35
€,36
…,37
™,38
—,39
›,40
Ÿ,41
‚,42
‡,43
Œ,44
ƒ,45
ƒ,46
š,47
“,48
Ÿ,49
Œ,50
•,51
˜,52
›,53
Ÿ,54
‡,55
Œ,56
“,57
‡,58
…,59
—,60
…,61
‘,62
‡,63
–,64
„,65
—,66
†,67
›,68
•,69
’,70
Ÿ,71
—,72
™,73
”,74
‘,75
”,76
Ÿ,77
Š,78
Š,79
›,80
Ÿ,81
Œ,82
ž,83
’,84
…,85
‚,86
Ž,87
Ž,88
€,89
Ÿ,90
†,91
Œ,92
“,93
‘,94
“,95
Ÿ,96
‡,97
‡,98
€,99
Ž,100
Ž,101
†,102
‡,103
ž,104
ž,105
ƒ,106
ƒ,107
Ž,108
Œ,109
„,110
–,111
š,112
‡,113
—,114
‡,115
“,116
—,117
™,118
‹,119
‹,120
Ž,121
Œ,122
‰,123
•,124
–,125
—,126
˜,127
“,128
•,129
œ,130
‘,131
Œ,132
Œ,133
Ž,134
„,135
˜,136
Š,137
‹,138
”,139
ž,140
‹,141
ˆ,142
‚,143
…,144
š,145
‚,146
Š,147
Œ,148
‘,149
”,150
…,151
–,152
„,153
Ž,154
Ÿ,155
›,156
€,157
“,158
‘,159
Ž,160
†,161
€,162
™,163
†,164
†,165
Œ,166
‡,167
Š,168
Ÿ,169
™,170
›,171
›,172
–,173
„,174
•,175
—,176
™,177
‹,178
œ,179
‡,180
…,181
ž,182
‹,183
˜,184
€,185
Œ,186
’,187
’,188
‚,189
–,190
‘,191
ƒ,192
ƒ,193
’,194
…,195
„,196
™,197
™,198
Ÿ,199
š,200
•,201
ˆ,202
†,203
Ž,204
ž,205
ž,206
›,207
†,208
”,209
‚,210
€,211
›,212
Œ,213
…,214
Ž,215
„,216
–,217
’,218
‰,219
…,220
š,221
‡,222
ž,223
‘,224
‘,225
‘,226
†,227
—,228
‘,229
›,230
š,231
“,232
“,233
š,234
‘,235
Ž,236
•,237
…,238
ƒ,239
“,240
•,241
†,242
ˆ,243
Ÿ,244
‘,245
Ž,246
›,247
‹,248
–,249
”,250
ž,251
‡,252
„,253
”,254
™,255
’,256
š,257
š,258
‹,259
„,260
‚,261
˜,262
Œ,263
”,264
ˆ,265
‹,266
†,267
˜,268
’,269
’,270
‘,271
“,272
–,273
Ž,274
‡,275
‚,276
Ÿ,277
–,278
–,279
…,280
„,281
›,282
œ,283
Ž,284
„,285
‚,286
—,287
˜,288
†,289
Ž,290
Ž,291
’,292
…,293
ƒ,294
€,295
Ž,296
œ,297
”,298
•,299
›,300
Ÿ,301
…,302
Œ,303
’,304
—,305
ˆ,306
–,307
Ÿ,308
›,309
˜,310
†,311
€,312
Ž,313
ž,314
›,315
ƒ,316
’,317
œ,318
‘,319
ƒ,320
Œ,321
š,322
ˆ,323
ˆ,324
Š,325
ƒ,326
ƒ,327
…,328
›,329
”,330
Ž,331
•,332
ƒ,333
ˆ,334
”,335
†,336
—,337
œ,338
™,339
–,340
€,341
˜,342
ƒ,343
Š,344
ˆ,345
š,346
›,347
…,348
š,349
š,350
œ,351
–,352
…,353
”,354
”,355
ž,356
Ÿ,357
‡,358
š,359
›,360
Œ,361
Ÿ,362
”,363
‰,364
™,365
’,366
–,367
‹,368
š,369
ˆ,370
…,371
•,372
†,373
Š,374
Ž,375
‚,376
Š,377
—,378
“,379
„,380
™,381
Ž,382
’,383
‡,384
—,385
‡,386
“,387
ƒ,388
„,389
œ,390
œ,391
Ÿ,392
†,393
€,394
‚,395
Ÿ,396
˜,397
‚,398
ž,399
”,400
‹,401
•,402
“,403
‘,404
…,405
œ,406
”,407
ž,408
™,409
“,410
Ÿ,411
–,412
Ÿ,413
ƒ,414
‘,415
œ,416
ž,417
•,418
€,419
”,420
ƒ,421
™,422
“,423
Œ,424
ˆ,425
‚,426
Ÿ,427
›,428
–,429
ˆ,430
“,431
„,432
Ÿ,433
‡,434
›,435
‰,436
œ,437
†,438
•,439
ž,440
Š,441
•,442
™,443
„,444
•,445
…,446
Ž,447
’,448
–,449
Œ,450
‚,451
’,452
ƒ,453
•,454
’,455
ˆ,456
ƒ,457
’,458
“,459
š,460
–,461
’,462
—,463
ž,464
œ,465
‘,466
–,467
“,468
‚,469
—,470
…,471
Š,472
Œ,473
Š,474
‰,475
Ž,476
‚,477
™,478
—,479
–,480
ˆ,481
Ÿ,482
›,483
’,484
˜,485
Œ,486
Ÿ,487
™,488
‘,489
Œ,490
‡,491
…,492
˜,493
Ÿ,494
‰,495
˜,496
ž,497
’,498
›,499
